code,barcode2,name,unit
8850172440287,4746617597,ไหมพรมG-5001-3/15กรัม สีส้ม*12,แพ็ค
4740598,,ดินสอสีไม้ COLLEN No.787 12แท่ง 24สี (12กล่อง),แพ็ค
072512167267,4746617914,ไส้ปากกาหัวเข็ม Energel 0.5มม. LRN5-B สีแดง (12ชิ้น/กล่อง),กล่อง
8850172512311,4746820563,ไหมพรมG-5003-3/40กรัม สีลาเวนเดอร์ (12ชิ้น/แพ็ค),แพ็ค
8854888011144,,ปากกา MAPLES 0.5มม. MP311 หมึกน้ำเงิน (50ด้าม/กระบอก),กระบอก
4746718987,,สายรัด สีม่วง กกต.*10เส้น,แพ็ค
18851907177338,,ดินสอสีไม้ Elephant แท่งสั้น 12สี (12กล่อง/แพ็ค),แพ็ค
8858741765700,4746922807,AA สมุดนักเรียน สพฐ เส้นเดี่ยว 80แผ่น (12เล่ม/แพ็ค),แพ็ค
8854889000628,,ปากกาปลอกสีน้ำเงินMP877 *50ด,กระปุก
8854246007888,4743351,ปากกาสีน้ำ MONAMI Sign Pen Super สีน้ำเงิน (12ด้าม/กล่อง),กล่อง
47465013039,,ถุงช้อปปิ้ง SY214-M*12,แพ็ค
8851907330385,4746821423,ปากกาลูกลื่น เอลเฟ่น ลิโซ่ โซนิค 0.5 หมึกน้ำเงิน (50ด้าม/กระบอก),กระบอก
4743760,FAH64001616,ซองชมพู*7/125*ถุงแก้ว*(1*500),กล่อง
6947503718053,,ปากกาหมึกเจลสีน้ำเงิน0.5 Q7A *12,กล่อง
28851907272740,,เน้นข้อความ2หัวควอนตั้มQH790เหลือง/ม่วง*12ด,กล่อง
4746923150,,แฟ้มกระดุม deli DL-F10412 A4 (สีใส) 12ชิ้น/แพ็ค,แพ็ค
8851433000387,,จานสี ORCA No.7 7หลุม (12ชิ้น/แพ็ค),แพ็ค
4742618,FAH64004892,"เข็มร้อยมาลัย15"" *100อ",กล่อง
8935001879701,47464011147,ปากกา Flexoffice หมึกน้ำมัน 0.7มม. FO-024 หมึกน้ำเงิน (12ด้าม/กล่อง),กล่อง
4005401074366,,ปากกาไฮไลท์ FABER-CASTELL Textliner46 สีส้ม*10ด้าม,กล่อง
8935324039868,4746821551,ปากกา flexoffice ลูกลื่น flex learn แบบกด 0.7มม. FO-GELB031 หมึกดำ (50ด้าม/กระบอก),กระบอก
4026700373721,FAH64000303,กาวแท่ง UHU 40g (12ชิ้น/กล่อง),กล่อง
6947503787264,47465012980,ปากกา M&G หมึกเจล 1.0มม. AGP13672 หมึกดำ (12ด้าม/กล่อง),กล่อง
16921734920116,FAH64000903,ใบมีดคัตเตอร์ Deli No.2011 (20หลอด/กล่อง),กล่อง
8858741750706,47466016907,ถ่าน Double A ขนาด AA แพ็ค2 (10แพ็ค/กล่อง),กล่อง
8851907304362,4746617478,ควอนตั้ม ปากกาสเก็ตแคคตัส *50,กระปุก
8802203061664,47466017028,ปากกา DONG-A ลูกลื่น MY-Gel Q หมึกดำ (12ด้าม/กล่อง),กล่อง
8853891165899,47464011440,ซองน้ำตาลไม่ขยายข้าง KKP (มีครุฑ) 9x12 3/4 KA (50ซอง),แพ็ค
4746820784,,กล่องดินสอพลาสติกแฟนซี DILOK PB166 คละลาย (12ชิ้น/แพ็ค),แพ็ค
072512167083,47464012087,ไส้ปากกา Pentel 0.7มม. LR-A แดง (12ชิ้น/กล่อง),กล่อง
6951956951318,,ปากกาลูกลื่นเจล 0.5 FASTER CX513 น้ำเงิน (12ด้าม/กล่อง),กล่อง
6947503727062,,ปากกา M&G หมึกเจล 1.0มม. AGP13604 หมึกดำ (12ด้าม/กล่อง),กล่อง
8854246007239,FAH64003571,ปากกาไวท์บอร์ด Monami หัวกลม สีดำ (12ด้าม/กล่อง),กล่อง
4007817192122,4746922738,ดินสอสีไม้ STAEDTLER 2หัว 36สี (6กล่อง/แพ็ค),แพ็ค
47464012050,,สมุดโน๊ตเย็บลวดA5*NF3D-154*ลายจุด*12ล.,แพ็ค
4746821453,,บิลส่งของ BOSTON ชนิดคาร์บอนในตัว ประเภท2ชั้น No.202 (10เล่ม/แพ็ค),แพ็ค
4746718770,,กระดาษกรอง QUALITATIVE (100แผ่น/กล่อง),กล่อง
38850304002612,47464012552,ทรานสพอร์เทปแต่งแผลชนิดใส Nexcare ขนาด 1นิ้วx5หลา (12ม้วน/กล่อง),กล่อง
084511305236,4746617584,ยางลบFoam SAKURA XRFW-200 (10ก้อน/กล่อง),กล่อง
4743720,,โมนามิปากกาสีน้ำซูเปอร์ไซน์เพน ชมพู *12ด,กล่อง
28851907119175,FAH64000925,คัตเตอร์ Elephant 18มม. No.1801 (12อัน/กล่อง),กล่อง
18851907104617,,สมุดวาดเขียน เรียบ R202 *6ล*เรนาซองซ์,แพ็ค
4743173,FAH64000418,ธงราชินี(สท)40x60 *10ผ,แพ็ค
4743087,FAH64005069,กระดาษสาห่อเหรียญKiddy *10ห,แพ็ค
884851042859,4746617457,ปากกามาร์คเกอร์ เพนเทลNF450*แดง 12ด้าม,กล่อง
8859196111647,4746618052,เทปผ้า Armstrong 48mmx8 สีขาว*6,แพ็ค
8851907265359,47466016638,แฟ้มซองกระดุม Elephant 425F ชมพู (12ชิ้น/แพ็ค),แพ็ค
38851907146277,FAH64001026,แฟ้มแขวน เอลเฟ่น ELFS525Y สีเหลือง (5แพ็ค/ลัง),ลัง
8935001892366,47465014738,ปากกา flexoffice หมึกน้ำมัน Touchie 0.7มม. FO-GELB022 หมึกแดง (36ด้าม/กล่อง),กล่อง
4741723,,ปากกาเจล0.5mm. 47740 *12,กล่อง
9556089007702,,ปากกาน้ำเงิน0.5(ม่วง) GRIP X P5 *10ด,กล่อง
6951956951417,,ปากกาลูกลื่นเจล0.7 FASTER CX514-FAN น้ำเงิน (12ด้าม/กล่อง),กล่อง
8856342013480,FAH64007664,เทียน7x10ตราเสือบิน*20ซ,แพ็ค
38850304013182,FAH64006555,ทรานสพอร์เทปแต่งแผลชนิดใส Nexcare ขนาด 1/2นิ้วx10หลา (24ม้วน/กล่อง),กล่อง
47465015830,,ไส้ดินสอHB rotring*10pcs,กล่อง
6933631504392,,ปากกกดแดง Super Oilball A2 *40ด,กระปุก
4741480,FAH64006866,ถุงหูหิ้วตราดาว บาง 9x18 *10ห่อ,มัด
4742325,FAH64000221,ใบเสร็จรับเงิน #2 ฟลามิงโก้ *25ล,แพ็ค
4742151,,สมุดนักเรียนปก5-. Hi-tech (24เล่ม/แพ็ค),แพ็ค
8809331230115,,ปากกาลูกลื่นฟลอรัล0.38 FASTER CX910 แดง (12ด้าม/กล่อง),กล่อง
8851771623576,4746719832,จานทรงลึก BEST BUY P9002-8 ครีมขาว (12ใบ),แพ็ค
8850944003573,FAH64008806,สมุดวาดเขียนปกดำ KKP Mayflower M610 (12เล่ม/แพ็ค),แพ็ค
8851552503646,FAH64003435,แท่นประทับ*ตราม้า*เบอร์2*สีแดง*12,แพ็ค
8935001892373,47465014740,ปากกา flexoffice หมึกน้ำมัน Touchie 0.7มม. FO-GELB022 หมึกดำ (36ด้าม/กล่อง),กล่อง
4711734822702,FAH64001164,คลิปดำ SDI 15mm. 0227(113) (12กล่อง),กล่อง
28851907290942,4746922866,ปากกาไวท์บอร์ด Quantum QW-1400 หมึกน้ำเงิน (12ด้าม/กล่อง),กล่อง
8801067412858,47464011902,ปากกาลูกลื่น153*การ์ตูน0.5*เหลืองบานาน่า*12ด.,กล่อง
6925282282545,,ปากกกดน้ำเงิน Super Oilball A2 *40ด,กระปุก
8851907265434,FAH64002769,แฟ้มซองกระดุมตราช้าง425A4 ชมพู *12ช,แพ็ค
6953787330805,,ปากกาเจลกดM&G*K3571 น้ำเงิน *12,กล่อง
47464012380,,แก้วเซรามิค*12ใบ*ลายหินอ่อน*แมวเหมียว,แพ็ค
8858741751154,47466016472,ปากกา Double A ลูกลื่น 0.5มม. ALPINE น้ำเงิน (50ด้าม/กระบอก),กระบอก
4715419813009,,รีฟิลเทปลบ 5mmx6m faster R-C649 (12ชิ้น/กล่อง),กล่อง
4026700378313,FAH64000678,กาวแท่ง UHU 8.2g. (24ชิ้น/กล่อง),กล่อง
28851907157696,FAH64000957,ตราช้างเทปโฟมกาวสองหน้า24mm.x1m *12ม,กล่อง
47464012042,,สมุดโน๊ตเย็บลวดB5*NF3G-252*12ล.,แพ็ค
6971169560824,,ปากกาลูกลื่น0.5ดำ สวีต โหมด LP200 *12ด,กล่อง
28851907151359,FAH64000955,เอลเฟ่นคัตเตอร์18mm-1 *60ช,กล่อง
6920553200952,,ดินสอสีลบได้ I-PAINT 12สี (12กล่อง/แพ็ค),แพ็ค
8858702098113,4746617076,สติ๊กเกอร์ใสหลังเหลือง COMAX A4 50แผ่น,แพ็ค
9555684638144,,ปากกาลูกลื่น1423/สีดำ0.7เฟเบอร์ *30ด,แพ็ค
8851023013513,,พู่กันกลม I-PAINT (12ชิ้น/แพ็ค),แพ็ค
8851928888674,4746720211,เทปกระดาษกาวสองหน้า CROCO 6มม.x10หลา (24ม้วน/แพ็ค),แพ็ค
4740146,FAH64000093,ฟลามิงโก้ใบส่งของคาร์บอน 2ชั้น #1 *10ล,แพ็ค
18851907030954,,พู่กัน Master Art จิตรกรน้อย กลม เบอร์ 7 10ด้าม/แพ็ค,แพ็ค
8809331231266,,ปากกาลูกลื่นOXFORD0.38 FASTER CX915 ชมพู (12ด้าม/กล่อง),กล่อง
8856342014210,FAH64007665,เทียน7x10ตราเสือบิน *10พ,มัด
47465013041,,ถุงช้อปปิ้ง JKZD-1607M*12,แพ็ค
4746718875,,"เทปกระดาษกาวย่น LOUIS #M245 2"" X 20Y (6ม้วน/แพ็ค)",แพ็ค
6939775004330,,โมนามิปากกาสีน้ำพลัสเพน แดง(03) *12ด,กล่อง
47464012540,,เอลเฟ่นคัตเตอร์18mm-1*6อัน,แพ็ค
6921734992499,47464012013,ปากกาลูกลื่น Deli ARROW 0.5 (50ด้าม/กระบอก),กระบอก
30051135208329,FAH64000987,กรรไกร 3M 6นิ้ว CAT.1426 (6ชิ้น/กล่อง),กล่อง
8850039719167,4746922830,กระดาษทิชชู่ Kleenex บียู หนา2ชั้น 135แผ่น (6+2กล่อง/แพ็ค),แพ็ค
8859196111715,4746617881,เทปผ้า Armstrong 48mmx8 สีน้ำเงิน*6,แพ็ค
9555684638755,,ปากกาลูกลื่นเฟเบอร์0.5 RX5 สีฟ้า *30ด,กระปุก
3388548880047,47465016122,เข็มปักกระดาษNo.0039 #3 100g.*6กล่อง,แพ็ค
18851907263963,,ปากกามาร์ชเมลโล่0.29แดง ควอนตั้ม *12ด,กล่อง
4740920,FAH64000698,ธงชาติ 60x90cm. 10ผืน/แพ็ค,แพ็ค
6939219061066,,ยางลบดินสอ4B*Faster*E106คละสี*แพ็ค24,แพ็ค
8851773572131,FAH64002478,"ซองน้ำตาล KTV A5 7x10"" ไม่ขยายข้าง 50ซอง/แพ็ค",แพ็ค
4743907,FAH64001634,กาว TOA 16ออนซ์ (12กระปุก/กล่อง),กล่อง
4742521,FAH64004846,บทสวดมนต์BM001 *25ล,แพ็ค
18851907140899,47466016403,พู่กัน Master Art จิตรกรน้อย กลม เบอร์ 00 10ด้าม/แพ็ค,แพ็ค
8851928894613,4746617066,สติ๊กเกอร์ตีเส้น Croco ขอบตรง 5มม.x9หลา (12ม้วน/แพ็ค),แพ็ค
4746821151,,เนื้อในแฟ้มประวัติพนักงานเทศบาล(สีเหลือง) (100เล่ม/แพ็ค),แพ็ค
4742478,FAH64000362,กระดาษโรเนียวHi-tech A4 K32/300แผ่น *20ห,มัด
8801456151177,FAH64003380,หมึกเติมไวท์บอร์ด Dong-A สีแดง (12ขวด/กล่อง),กล่อง
8851907265205,47465013308,ตราช้าง แฟ้มกระเป๋าซองตาไก่ 431F ชมพู*12ช,แพ็ค
8850172440348,4746617605,ไหมพรมG-5001-9/15กรัม สีน้ำเงิน*12,แพ็ค
4742483,FAH64004013,ดินน้ำมันไร้สารพิษ ไดโนเสาร์/ยีราฟ คละสี (4แพ็ค/ลัง),ลัง
28851907097046,FAH64000923,กาวแท่งสติ๊กโก้40g. ตราช้าง NON TOXIC (10ชิ้น),กล่อง
4741475,FAH64006862,ถุงหูหิ้วตราดาว บาง 7x15 *10ห่อ,มัด
8854888011632,47465015420,ปากกา MAPLES ลูกลื่น 0.5มม. MP311A น้ำเงิน (50ด้าม/กระปุก),กระปุก
8809331230177,47465015320,ปากกาลูกลื่น Fruity Faster CX916-FAN (12ด้าม/กล่อง),กล่อง
4741471,FAH64007930,ถุงหูหิ้วตราดาว หนา 9x18*10ห่อ,มัด
8850304198796,47466016834,โพสต์-อิทซูเปอร์สติกกี้นีออน 3M *24 ชิ้น,กล่อง
8851907292416,,ยางลบ ควอนตั้มERSER QE600-50Tier  50ก้อน/กล่อง,กล่อง
4743906,FAH64001633,กาว TOA 4ออนซ์ (24กระปุก/กล่อง),ลัง
8851552201665,,ปากกาเคมี2หัว Horse สีส้ม (12ด้าม/กล่อง),กล่อง
8851907273934,,ควอนตั้มปากกาสเก็ต117 น้ำเงิน0.7 *50ด,กระปุก
8801067412841,47464011906,ปากกาลูกลื่น153*การ์ตูน0.5*น้ำตาลโกโก้*12ด.,กล่อง
18851907269095,,ปากกามาร์ชเมลโล่0.29น้ำเงิน ควอนตั้ม *12ด,กล่อง
4743357,FAH64001599,แฟ้มสันกว้าง3นิ้ว Elephant 2100F ดำ (12เล่ม),โหล
8851473004000,4746821034,ซาร่า เม็ดรี ยาเม็ดบรรเทาปวด 10เม็ด*20แผง,กล่อง
47466016530,,แฟ้มกระดุมF4 MT FRN-OS07 (12ชิ้น/แพ็ค),โหล
8851673244251,47465013344,ดินสอต่อไส้ สไปร์เดอร์แมนแพ็ค48 SM-1748A,กระปุก
8859196111708,4746617877,เทปผ้า Armstrong 48mmx8 สีฟ้า*6,แพ็ค
8859560447198,4746821773,ลูกขนไก่ GRAND SPORT  No.372972 (12ลูก/หลอด),หลอด
4743502,FAH64000250,แปรงลบกระดานไม้MK-001 *12ช,แพ็ค
28851907065786,,ดินสอวาดเขียน4B เรนาซองซ์ *12ท,กล่อง
8851552504629,FAH64002283,ตราม้า แท่นประทับ#3 สีน้ำเงิน *12ช,แพ็ค
8888336015330,47464011555,กระดาษทิชชู่ สก๊อตต์ ซีเลคท์ ม้วนเล็ก 12ม้วน/แพ็ค,แพ็ค
8809331230986,,ปากกาลูกลื่น FASTER CX-913FAN *12ด,กล่อง
4740360,FAH64003741,ไหมพรมนกยูง14กรัม คละสี *12ม,แพ็ค
