code,barcode2,name,unit
18851907278257,,ปากกาชาร์โคล0.7 แดง ควอนตั้ม *12ด,แพ็ค
4746719843,8851771623651,ชามแกง B9103-8 สีครีม (12ใบ),แพ็ค
8809061706911,,ปากกาลูกลื่น แดง 1.0mm.*12ด*JAVA,กล่อง
47464012048,,สมุดโน๊ตเย็บลวดA5*NF3G-152*ตาราง*12ล.,แพ็ค
47465013473,,แฟ้มประวัติพนักงานส่วนตำบล (25เล่ม/แพ็ค),แพ็ค
18851907257962,,ตราช้างสมุดฉีก A4 P-102T *10ล,แพ็ค
4741366,,TM*สพฐ80แผ่น/55g/เส้นคู่*12ล.,แพ็ค
FAH64001386,4741443,กาว TOA 8ออนซ์ (24กระปุก/กล่อง),กล่อง
18851907277182,,สมุดริมลวดตราช้างWPP-124T *10ล,แพ็ค
4746617857,8859196117045,เทปผ้า Armstrong 24mmx8 สีฟ้า*12,แพ็ค
47464011876,8801067432238,ปากกาลูกลื่น153*แทรเวล0.5*นง.แพ็คกิ้งพิงค์*12ด.,กล่อง
8809331230108,,ปากกาลูกลื่น0.38 FASTER CX910 FLORAL น้ำเงิน (12ด้าม/กล่อง),กล่อง
4007817323366,,ปากกาไฮไลท์สเต็ดเล่อร์ เหลือง *10ด,กล่อง
FAH64000952,28851907147352,"กรรไกร ตราช้าง kid-D 5""1/2 SCB0455 (12ชิ้น/กล่อง)",กล่อง
4746822027,8859196111487,เทปผ้า Armstrong 36mmx8 สีดำ *8,แพ็ค
4746718943,8851907265014,แฟ้มกระเป๋าซองตาไก่ Elephant 435F สีส้ม (12ชิ้น/แพ็ค),แพ็ค
4746718754,,ไม้บรรทัดใสหนา MODELA 12นิ้ว (12ชิ้น/แพ็ค),แพ็ค
4746718942,8851907265021,แฟ้มกระเป๋าซองตาไก่ Elephant 435F สีม่วง (12ชิ้น/แพ็ค),แพ็ค
FAH64003039,8856602047248,สายคล้องคอสีฟ้าSTR01 *100ส,แพ็ค
8851023013551,,พู่กันกลม I-PAINT #8 (10ชิ้น/แพ็ค),แพ็ค
4746820324,8935324031220,ปากกาเจล flexoffice QUICK DRY 0.5 FO-GEL033 สีดำ (10ด้าม/กล่อง),กล่อง
FAH64003358,8801067392617,โมนามิ ปากกาไวท์บอร์ดมินิ ดำ *12ด,กล่อง
18851907277670,,สมุดริมลวดตราช้างWPP-119T ส้ม *10ล,แพ็ค
FAH64000158,4741330,BRบิลเงินสด2ชั้น No.1 *10ล,แพ็ค
18851907278240,,ปากกาชาร์โคล0.7 น้ำเงิน ควอนตั้ม *12ด,แพ็ค
47465014900,8851673238090,โบว์ผีเสื้อ18มิล สีทอง PRM18-1GL,แพ็ค
13154140632110,,กบเหลา Maped BOOGY (75ชิ้น/กล่อง),กล่อง
18851907287204,,ปากกาดริฟท์ 53 น้ำเงินคละสี 0.7*ตราช้าง,โหล
FAH64004012,4742482,ดินน้ำมันไร้สารพิษ NARA 150g NA-PO-150-1 คละสี (12ก้อน/แพ็ค),แพ็ค
FAH64003434,8851552503622,แท่นประทับ*ตราม้า*เบอร์2*สีน้ำเงิน *12,แพ็ค
FAH64002767,8851907265410,แฟ้มซองกระดุมตราช้าง425A4 เขียว *12ช,แพ็ค
FAH64007877,8859473801803,แก้วน้ำยาว 10ออนซ์ LG30 (12ใบ/กล่อง),กล่อง
47464011878,,ปากกาลูกลื่น153*แทรเวล0.5*นง.กูรเม่เยลโล*12ด.,แพ็ค
47465015727,6933631547948,ไส้ปากกาเจลกดลบได้ ดำ 0.5 M&G AKR67104*20pcs,กล่อง
8851907236366,,ปากกา Elfen ลูกลื่น LISO SNOWY 0.5มม. หมึกน้ำเงิน (50ด้าม/กระบอก),กระบอก
47464010940,8852413459409,กระดาษ Idea Work 80แกรม A4 (2500แผ่น/ลัง),ลัง
FAH64000085,4740134,บิลส่งของชั่วคราว Flamingo No.2 (10เล่ม/แพ็ค),แพ็ค
FAH64002190,8851433095581,แฟ้มกระดุมออร์ก้า A4 คละสี *12ช,แพ็ค
18851907031531,,ดินสอสีแท่งยาว Master Art 12สี ซุปเปอร์ไบรท์ (12กล่อง/แพ็ค),แพ็ค
8809078873644,,ปากกาลูกลื่นเจลg'soft super grip 0.28 แดง *12ด,กล่อง
9556089006385,,ปากกาไฮไลท์สีแดง157721 เฟเบอร์ *10ด,กล่อง
FAH64004646,4741974,กรวยดอกไม้No.1(ปากกว้าง)*100ช,ห่อ
47464011141,8935001886365,ปากกาหมึกเจลกด*Flexoffice*FO-GEL021*แดง0.5*12ด.,กล่อง
28851907278193,,ปากกาลบคำผิดเอลเฟ่น มินิฮาร์ต *12ช,กล่อง
47465014085,,พานดอกไม้*คู่,คู่
4746922473,18851907312456,ดินสอสีไม้ระบายน้ำ Master Art 12สี (12กล่อง/แพ็ค),แพ็ค
FAH64003573,8854246007253,ปากกาไวท์บอร์ด Monami หัวกลม สีแดง (12ด้าม/กล่อง),กล่อง
FAH64000030,18851907089358,ตราช้างใบส่งของ #2 3ชั้น *10,แพ็ค
4740442,,พู่กันกลมไทยแหลมทอง #11 *6ช,แพ็ค
6937168831587,,ปากกา M&G หมึกเจล 0.38มม. AGPB4202 หมึกดำ (12ด้าม/กล่อง),กล่อง
4007817100691,,ดินสอดำ EE สเต็ดเล่อร์ (6กล่อง/แพ็ค),แพ็ค
FAH64003693,4743761,สมุดจดการบ้าน HI-TECH (E9/40) 40แผ่น (24เล่ม/แพ็ค),แพ็ค
47464011302,28851907289953,ปากกาควอนตั้ม*โยเกิร์ต0.5*แดง*12ด.,กล่อง
